Ticker,Short Name,Sector,Industry,Market Cap,Revenue CAGR,Revenue CAGR Years Used,Revenue CAGR Method,Revenue Growth,Earnings Growth,Forward PER,PBR,PSR,EV/EBITDA,ROE,ROA,Debt/Equity Raw,Debt/Equity,Operating Margin,Profit Margin,Free Cash Flow,Operating Cash Flow,FCF Yield,Data Quality,Failed Reason
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,12304504832.0,0.0378887286798415,3.0,Yearly,0.053,0.368,11.68729,1.9826725,1.0727555,10.507,-0.14371,0.028499998,156.449,1.5644900000000002,0.14425999,-0.09268,1000374976.0,1319000064.0,0.08130152246341123,OK,
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,19043274752.0,-0.0343345487205291,3.0,Yearly,0.036,0.701,12.588016,6.0021152,0.45125172,7.935,0.43126,0.07254,130.097,1.3009700000000002,0.03896,0.03014,1403374976.0,2475000064.0,0.07369399403601064,OK,
BDX,"Becton, Dickinson and Company",Healthcare,Medical Instruments & Supplies,48443998208.0,0.04992975699544888,3.0,Yearly,0.054,-0.314,13.379736,1.9841137,2.1545987,10.545,0.06607,0.0434,68.84,0.6884,0.15732999,0.0419,4478374912.0,3342000128.0,0.09244437035877119,OK,
BEN,"Franklin Templeton, Inc.",Financial Services,Asset Management,17096787968.0,0.019569502798386873,3.0,Yearly,0.143,1.067,10.590087,1.4548836,1.8336128,11.484,0.07887,0.02638,24.805,0.24805,0.12979001,0.08717,-2990862592.0,277800000.0,-0.17493710500463522,OK,
BF-B,Brown Forman Inc,Consumer Defensive,Beverages - Wineries & Distilleries,12031420416.0,-0.024234406984345203,3.0,Yearly,-0.014,0.057,15.298888,3.0301628,3.0731597,11.949,0.18122,0.08627,61.502,0.61502,0.27552,0.18416001,685625024.0,1013000000.0,0.05698620780371208,OK,
BG,Bunge Limited,Consumer Defensive,Farm Products,23517302784.0,0.015124876158678413,3.0,Yearly,0.883,0.33,10.7933235,1.4740734,0.25612676,13.195,0.071779996,0.03472,97.995,0.9799500000000001,0.04617,0.01097,-6475375104.0,1075000064.0,-0.27534514325365245,OK,
BIIB,Biogen Inc.,Healthcare,Drug Manufacturers - General,32084781056.0,-0.00935320400320594,3.0,Yearly,0.034,-0.848,13.125723,1.7016691,3.1995513,11.656,0.04575,0.052059997,44.329,0.44329,0.25058,0.083229996,1266987520.0,2878799872.0,0.03948873822104725,OK,
BK,,Unknown,Unknown,,,,None,,,,,,,,,,,,,,,,PARTIAL,
BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,134766862336.0,0.1634869878187224,3.0,Yearly,0.081,1.3,14.051746,-12.225503,4.7720284,12.906,,0.2038,,,0.34412,0.25527,7725875200.0,9859000320.0,0.05732770701997862,PARTIAL,
BKR,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,58627330048.0,0.09442943355196065,3.0,Yearly,-0.024,-0.042,18.989805,2.9438741,2.1146016,11.993,0.16463,0.04853,80.925,0.80925,0.1283,0.111669995,4415000064.0,4435999744.0,0.07530617649456837,OK,
BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,6495598080.0,-0.12565732756059322,3.0,Yearly,-0.088,,13.653922,1.6217597,0.4495627,11.411,0.02506,0.02389,130.786,1.30786,0.033269998,0.0070999996,464577120.0,897998016.0,0.07152183898668804,OK,
BLK,"BlackRock, Inc.",Financial Services,Asset Management,175417425920.0,0.1065430569599104,3.0,Yearly,0.306,0.196,16.788149,2.904596,6.425782,15.766,0.122779995,0.03737,23.192,0.23192000000000002,0.35079,0.24089001,7578124800.0,3937999872.0,0.04320052446474754,OK,
BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers - General,129998356480.0,0.01449177656319045,3.0,Yearly,0.057,1.531,9.704621,5.8251715,2.642995,8.663,0.46598998,0.10719,201.859,2.01859,0.34418,0.18871,8114375168.0,12782000128.0,0.06241905965363786,OK,
BR,"Broadridge Financial Solutions,",Technology,Information Technology Services,19400523776.0,0.0724890868669692,3.0,Yearly,0.075,0.084,14.490551,6.7319503,2.594763,12.296,0.40916002,0.09295,123.939,1.23939,0.24609,0.15037,1194499968.0,1345600000.0,0.061570500971612534,OK,
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Insurance - Diversified,1092553998336.0,0.20586499585407747,3.0,Yearly,0.1,1.078,22.997368,0.0009772973,2.8401115,-1.79,0.121199995,0.060100004,17.142,0.17142,0.32561,0.22296,71975247872.0,46634000384.0,0.06587797763920224,OK,
BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,22147860480.0,0.17384548109418518,3.0,Yearly,0.324,0.071,13.71768,1.7359035,3.3240073,10.139,0.10023,0.05381,63.975,0.63975,0.41838002,0.18084998,1642749952.0,1520000000.0,0.07417194782689908,OK,
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,62287884288.0,0.16541890019606442,3.0,Yearly,0.075,0.151,12.532475,2.4941967,2.9666548,13.065,0.15338999,0.06191,50.151,0.50151,0.22895999,0.17499,2451375104.0,4528999936.0,0.03935556861532808,OK,
BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts,13574363136.0,0.04251460482923086,3.0,Yearly,0.003,0.301,11.222731,2.4149425,0.9463444,7.548,0.08056,0.06331,70.11,0.7011,0.106359996,0.02893,1066249984.0,1724999936.0,0.07854880360259724,OK,
BX,Blackstone Inc.,Financial Services,Asset Management,153607716864.0,0.20274657241463667,3.0,Yearly,0.286,0.573,17.169233,11.403851,9.920859,,0.31374002,0.1433,68.185,0.6818500000000001,0.54357,0.22728,,5597890048.0,,PARTIAL,
BXP,"BXP, Inc.",Real Estate,REIT - Office,11702768640.0,0.03856526122650683,3.0,Yearly,0.037,-0.232,29.107168,2.002104,3.6683264,17.789,0.05308,0.01683,211.631,2.11631,0.28755,0.09304,880636864.0,1284499968.0,0.07525030111165215,OK,
C,"Citigroup, Inc.",Financial Services,Banks - Diversified,232861794304.0,0.04589654681078592,3.0,Yearly,0.155,0.61,10.775198,1.2098869,2.849787,,0.08529,0.0066299997,,,0.36229,0.21832001,,-18296999936.0,,PARTIAL,
CAG,"ConAgra Brands, Inc.",Consumer Defensive,Packaged Foods,6987058176.0,-0.027791350655803293,3.0,Yearly,0.036,,9.40849,1.0989839,0.6193322,8.179,-0.25064,0.04404,117.577,1.17577,0.13771,-0.16985,859000000.0,1402099968.0,0.12294158404900621,OK,
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,54555291648.0,0.07444137775897364,3.0,Yearly,0.058,0.688,16.66366,-18.958216,0.21457511,14.104,,0.037219997,,,0.013300001,0.00674,4752500224.0,5174000128.0,0.08711346013259241,PARTIAL,
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,47725150208.0,0.07948894772684056,3.0,Yearly,0.039,-0.118,17.367859,3.6058989,2.1587276,18.992,0.08966,0.02982,91.998,0.91998,0.13069001,0.055180002,861750016.0,2387000064.0,0.01805651762737769,OK,
CAT,"Caterpillar, Inc.",Industrials,Farm & Heavy Construction Machinery,376276058112.0,0.0438323160905727,3.0,Yearly,0.24,0.682,25.28219,19.400612,5.035208,25.566,0.56972003,0.090299994,232.783,2.32783,0.22183001,0.14511,5048999936.0,13569000448.0,0.013418339613032584,OK,
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,130496806912.0,0.11562448439502893,3.0,Yearly,0.061,-0.007,11.619942,1.7306217,2.1083238,10.281,0.14822,0.03358,30.941,0.30940999999999996,0.23527001,0.18070999,10488000512.0,15376000000.0,0.08036978651188409,OK,
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,29349294080.0,0.059967260789602905,3.0,Yearly,0.229,0.502,18.446308,5.2231126,5.7987657,14.8,0.26297,0.11578,28.09,0.2809,0.34634,0.26734,678249984.0,1962800000.0,0.02310958424251136,OK,
CBRE,CBRE Group Inc,Real Estate,Real Estate Services,40688222208.0,0.09567521092915365,3.0,Yearly,0.155,-0.042,15.448536,4.8495197,0.9308463,22.936,0.15798001,0.02585,117.789,1.17789,0.03608,0.029760001,1637624960.0,1360999936.0,0.040248132533989525,OK,
CCI,Crown Castle Inc.,Real Estate,REIT - Specialty,32172941312.0,-0.15173892561897784,3.0,Yearly,-0.049,-0.675,26.189835,-9.851485,7.732022,20.273,,0.04725,,,0.46825,0.20716,1036249984.0,2624000000.0,0.03220874255638837,PARTIAL,
CCL,Carnival Corporation Ltd.,Consumer Cyclical,Travel Services,31159517184.0,0.2981448600373693,3.0,Yearly,0.053,-0.065,8.641548,2.406898,1.1409146,7.546,0.26689,0.05367,201.556,2.0155600000000002,0.12787,0.11237001,1899374976.0,6793999872.0,0.06095649572437226,OK,
CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,79812878336.0,0.14143248241855333,3.0,Yearly,0.242,1.254,30.315063,11.620352,13.672154,37.483,0.23229,0.10613,38.661,0.38661,0.28575,0.23605,1609676544.0,1854867968.0,0.02016813047668207,OK,
CDW,CDW Corporation,Technology,Information Technology Services,19226429440.0,-0.01894867945091694,3.0,Yearly,0.1,0.049,12.765271,7.8907127,0.818132,12.579,0.44009998,0.06585,263.278,2.6327800000000003,0.07345,0.04597,676787520.0,981800000.0,0.03520089479495159,OK,
CE,Celanese Corporation,Basic Materials,Chemicals,5058328064.0,-0.0044652723627061075,3.0,Yearly,0.087,-0.371,7.466773,1.213885,0.5208328,9.846,-0.2225,0.02565,270.205,2.70205,0.11047,-0.12037,949875008.0,984000000.0,0.18778438171304818,OK,
CEG,Constellation Energy Corporatio,Utilities,Utilities - Independent Power Producers,100889026560.0,0.01469039149633189,3.0,Yearly,0.23,-0.468,21.342937,3.163924,3.226384,15.749,0.15055001,0.03888,76.419,0.7641899999999999,0.086619996,0.110810004,-6625124864.0,4206000128.0,-0.0656674475896539,OK,
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,20138565632.0,-0.1412477014500929,3.0,Yearly,0.176,0.996,12.451683,3.509508,2.6022182,6.311,0.29867,0.12934,40.504,0.40503999999999996,0.49325,0.27122,1276749952.0,2976999936.0,0.06339825662515189,OK,
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks - Regional,29684541440.0,0.009305158100850308,3.0,Yearly,0.147,0.413,10.790734,1.2375551,3.6373658,,0.08270001,0.0094,,,0.35132998,0.26051,,2500999936.0,,PARTIAL,
CHD,"Church & Dwight Company, Inc.",Consumer Defensive,Household & Personal Products,22332747776.0,0.048889197884673496,3.0,Yearly,0.016,0.09,23.306187,5.134988,3.5852287,18.088,0.17041,0.07873,55.851,0.55851,0.18065001,0.119569995,939262528.0,1260499968.0,0.04205763381295083,OK,
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,17852534784.0,-0.13053598256384413,3.0,Yearly,0.193,0.238,20.372786,10.992949,1.0503646,21.091,0.37123,0.099580005,121.188,1.21188,0.05337,0.03726,480618368.0,685356992.0,0.02692157577705689,OK,
CHTR,"Charter Communications, Inc.",Communication Services,Telecom Services,19646515200.0,0.0046187194908937634,3.0,Yearly,-0.017,0.161,3.3052392,1.0256681,0.36117575,5.434,0.27201998,0.05311,441.578,4.41578,0.23503,0.09052,2198374912.0,16469999616.0,0.11189642995822485,OK,
CI,The Cigna Group,Healthcare,Healthcare Plans,74188161024.0,0.1514950529756025,3.0,Yearly,0.067,0.102,8.384122,1.7371291,0.2627227,7.768,0.16758,0.04462,74.29,0.7429000000000001,0.03985,0.022720002,7980125184.0,10277000192.0,0.1075660196162352,OK,
CINF,Cincinnati Financial Corporatio,Financial Services,Insurance - Property & Casualty,26060572672.0,0.2438798815724228,3.0,Yearly,0.316,0.855,18.801447,1.5624281,1.8676059,5.738,0.21484,0.06409,5.255,0.05255,0.37202,0.23843001,2984875008.0,3416999936.0,0.11453604821228695,OK,
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,69194604544.0,0.042934601917500315,3.0,Yearly,0.049,-0.055,21.129402,293.24326,3.2876234,15.238,2.67367,0.15838,1388.163,13.88163,0.20966,0.096829996,3458374912.0,4456000000.0,0.04998041299305153,OK,
CLX,Clorox Company (The),Consumer Defensive,Household & Personal Products,10612905984.0,-0.031139607337307473,3.0,Yearly,-0.02,-0.501,14.017848,117.95699,1.5793015,14.237,1.6376,0.08321,2221.429,22.214290000000002,0.12885,0.087349996,110375000.0,612000000.0,0.010400073284960893,OK,
CMCSA,Comcast Corporation,Communication Services,Telecom Services,89425649664.0,0.006220134237919117,3.0,Yearly,-0.012,-0.668,6.951283,0.9956145,0.7159551,5.058,0.114879996,0.043080002,100.474,1.00474,0.17233999,0.08966,12697624576.0,32516999168.0,0.14199085635619005,OK,
